_key,active,full_name,team,position,status,espn_id,fantasy_data_id,gsis_id,kalshi_id,oddsjam_id,rotowire_id,rotoworld_id,sportradar_id,stats_id,swish_id,yahoo_id
12569,true,Kelvin Banks,NO,OL,Active,,26007,,028107ad-7e2a-4d61-be3f-a09917b4c50c,FD343E71349A5BF7,18762,,09d0e95b-d1b4-4068-9074-db8a06d1dd12,,,
1257,false,Jonathan Martin,,OT,Inactive,14975,14643,,,,,7434,c4886b28-cb8b-468d-aaff-b0b2ce9aeffa,,,
12570,true,Will Campbell,NE,OT,Active,,26006,,633adbe3-5b6e-4603-a977-8b2ebc10a99b,C75431304D4D9A7E,18750,,2401a7e1-9d02-4c0e-b711-debf988905a8,,,
12571,true,Mike Green,BAL,DL,Active,,26018,,19a2f0a5-b200-4126-9426-31f73a4bea73,E8B0D847FA951452,18779,,55b34ff0-64f3-43c1-9030-47f52b9ad394,,,
12572,true,Armand Membou,NYJ,OL,Active,,26008,,8b7abefb-ad69-4e00-acd9-4a8e5e0b75c8,399438785A2A35A3,18748,,de97d7e0-6d23-4088-b3d2-94d4166f532c,,,
12573,true,Mason Graham,CLE,DL,Active,,25992,,a61d4f02-abda-4539-8038-a6151f41cc9e,E0B6F81526783015,18461,,5efacd9e-be9e-4711-8101-e5579ba3274f,,,
12574,true,Abdul Carter,NYG,DL,Active,,26016,,c34ad9aa-54f5-4236-98e0-5dc8dc5c8cc9,B4D4612C7CB5F971,18581,,95fa8be3-3be8-45bb-9475-60a444e1af74,,,
12575,true,Seth McLaughlin,DET,OL,Active,,26245,,4c72b946-c99a-4288-9f1c-bafa1df80b99,3D2B770BFB9F386E,17873,,1e325ce0-22fe-11f0-a356-7595009c1109,,,
12576,true,Benjamin Morrison,TB,DB,Active,,26025,,b8a67e6e-90b3-4ea7-a9b4-960ee218dda8,04F91DD10B379227,18590,,33859ece-2c7f-4fe2-9c16-aff3c1e0b9e0,,,
12577,true,Anthony Belton,GB,OT,Active,,26175,,d8b5256f-2924-443c-ab05-6963eb3721bc,2DA606E8851DBAED,17901,,e45b8756-f7c9-4c79-8d0b-df8bb71155bd,,,
12578,true,Carson Schwesinger,CLE,LB,Active,,26027,,84beb8a7-97d3-4b31-bbdd-ab8827d4c525,4F5AA6785277368E,18717,,c81bb255-a30e-4488-9696-e624f0ff9042,,,
12579,true,Jordan Burch,ARI,DL,Active,,26202,,2e8132d6-6b0e-4270-b670-156ba36dfbe6,F369ABD5DF1D9DDB,18664,,930464fc-202d-4592-9a04-ef830194cef0,,,
1258,false,Derrick Shelby,,DE,Inactive,15278,14645,00-0029111,,,8470,8017,86a412bb-7db6-4c6a-86b0-499afd326fd9,383524,,26297
12580,true,Landon Jackson,BUF,DL,Active,,25000,,83848c49-8f8e-49ae-b142-e50f46f7e3d0,8F557FD1DFFBDA4A,18663,,0e8fa07d-6827-477a-acde-467568aa0c7d,,,
12581,true,Darius Alexander,NYG,DL,Active,,26131,,8503abae-b5c2-4f86-9441-e6f30fd9452f,FCB40934C432E56D,18696,,13a06c0d-d946-4a00-bd7a-e9131aaa09cb,,,
12582,true,Marcus Mbow,NYG,OL,Active,,26001,,d323f77e-26b7-41aa-813b-76e08078b259,925FB31471383D5E,18791,,ad2c13a0-d062-4c5a-a54e-065be6e9b0d7,,,
12583,true,Oluwafemi Oladejo,TEN,DL,Active,,26207,,8686fa98-db3c-4042-a879-33c7c6d3e43f,23E5A25411D9F00C,18669,,215c9c0f-d492-4fdd-9a53-c3a9c52345a2,,,
12584,true,Darien Porter,LV,DB,Active,,26078,,cbd7b6f2-b006-4e6d-b57e-643658705597,98FC56DF592C49D3,18589,,8a80dfe2-96c3-4183-89a9-b2525917c263,,,
12585,true,James Pearce,ATL,DL,Active,,26017,,9343c181-7f28-4db8-86a6-4d97c7b222ef,1C2EF4CCE966C076,18657,,1a3a8a05-9418-48ba-910e-db87caf00bfe,,,
12586,true,Cameron Williams,PHI,OL,Active,,26002,,d592e2a6-e430-461d-a500-922757af0706,E4D4B612B4AACB3B,18504,,8b7504e3-c5ce-4e91-90d1-2bd8e975c5ed,,,
12587,true,Joshua Farmer,NE,DL,Active,,26039,,2ff46d72-6c14-44cb-b51d-09a1e40b2f98,BABF0032D4C48CF7,18695,,541acdf2-8f7e-4543-b344-d7d4a0ce783b,,,
12588,true,Kevin Winston,TEN,DB,Active,,26042,,aeeb1e20-c663-4b41-9bfb-ddc576ba3e4e,04705D691FE9FA5F,18620,,1dd1308d-3ca4-4972-abc4-0dae40726900,,,
12589,true,Charles Grant,LV,OL,Active,,26214,,35c23963-203b-414d-82af-8affc9f44e67,83F537C8FF20B153,18783,,473a43d5-e9d9-4317-ae02-9c565c9f4695,,,
1259,true,Olivier Vernon,,DE,Active,14982,14646,00-0029693,,,8146,7544,3be41614-5c70-4b0a-89c7-c7ae061d9223,,,25782
12590,true,Alfred Collins,SF,DL,Active,,26075,,87536319-f43c-4db3-8a5f-cbbacd7f7a36,3F76CEA283468154,18685,,d81084a7-c3bd-4746-883c-12797db9859a,,,
