id,value,team
2186,Jae Crowder,SAC
2187,Draymond Green,GS
2189,Quincy Acy,PHO
2191,Khris Middleton,WAS
2192,Will Barton,TOR
2195,Mike Scott,PHI
2197,Justin Hamilton,BKN
2198,Darius Miller,OKC
2199,Kevin Murphy,ORL
2201,Kyle O'Quinn,PHI
2204,Ognjen Kuzmic,GS
2207,Darin Johnson,PHI
2218,Maalik Wayns,DAL
2220,P.J. Tucker,NY
2221,Kent Bazemore,SAC
2225,Hollis Thompson,SAC
2226,Scott Machado,LAL
2230,Henry Sims,UTH
2247,DeQuan Jones,IND
2252,Chris Johnson,HOU
2261,Justin Holiday,DEN
2265,Willie Reed,DET
2270,Aron Baynes,TOR
2272,Anthony Bennett,HOU
2273,Victor Oladipo,MEM
2274,Otto Porter,UTH
2275,Cody Zeller,HOU
2276,Alex Len,NY
2277,Nerlens Noel,SAC
2278,Ben McLemore,POR
2279,Kentavious Caldwell-Pope,PHI
2280,Trey Burke,OKC
2281,CJ McCollum,ATL
2282,Michael Carter-Williams,ORL
2283,Steven Adams,HOU
2284,Kelly Olynyk,SA
2285,Shabazz Muhammad,MIL
2286,Giannis Antetokounmpo,MIA
2288,Dennis Schroder,CHA
2289,Shane Larkin,BOS
2290,Sergey Karasev,BKN
2291,Tony Snell,NO
2292,Gorgui Dieng,SA
2293,Mason Plumlee,SA
2294,Solomon Hill,NY
2295,Tim Hardaway Jr.,MIA
2296,Reggie Bullock,HOU
2297,Andre Roberson,BKN
2298,Rudy Gobert,MIN
2299,Livio Jean-Charles,SA
2300,Archie Goodwin,POR
2302,Allen Crabbe,MIN
2303,Alex Abrines,OKC
2305,Isaiah Canaan,MIL
2307,Ray McCallum,CHA
2308,Tony Mitchell,MIA
2309,Nate Wolters,UTH
2310,Jeff Withey,DAL
2311,Grant Jerrett,POR
2313,Pierre Jackson,DAL
2315,Mike Muscala,OKC
2317,Erick Green,DEN
2318,Raul Neto,CLE
2319,Ryan Kelly,ATL
2321,James Ennis,DEN
2323,Lorenzo Brown,TOR
2326,Joffrey Lauvergne,SA
2334,Phil Pressey,GS
2338,Ian Clark,NO
2341,Arinze Onuaku,ORL
2343,E.J. Singler,TOR
2346,Seth Curry,GS
2347,Eric Griffin,UTH
2349,Toure' Murry,MIN
2350,Matthew Dellavedova,SAC
2353,Larry Drew II,NO
2354,Robert Covington,PHI
2357,Dewayne Dedmon,PHI
2358,Cameron Jones,GS
2360,Kalin Lucas,DET
2364,JaMychal Green,GS
2367,Jorge Gutierrez,BKN
2372,Rodney McGruder,GS
2377,Vander Blue,LAL
2383,James Nunnally,NO
2384,Troy Daniels,DEN
2385,Abdul Gaddy,OKC
2392,DJ Stephens,MEM
2393,Scotty Hopson,OKC
2394,Andrew Wiggins,MIA
2395,Jabari Parker,BOS
2396,Joel Embiid,PHI
2397,Aaron Gordon,DEN
2398,Dante Exum,WAS
2399,Marcus Smart,HOU
